81.6967,207.873,62.0444,208.546
89.0728,261.898,531.358,314.711
89.7768,261.173,69.9784,261.325
90.309,367.881,70.2471,369.006
90.9325,153.814,70.8281,154.374
137.022,153.464,118.083,154.135
137.258,261.196,118.336,262.001
137.309,108.526,115.539,109.352
137.438,367.746,118.544,368.834
186.817,106.541,169.019,107.137
188.253,207.458,169.975,208.306
188.415,314.441,170.284,315.136
190.541,369.253,170.342,370.08
239.688,153.593,221.487,154.329
240.271,419.687,426.287,419.702
290.736,106.341,273.504,106.988
291.19,206.663,273.33,207.45
292.496,260.888,324.427,314.929
292.77,426.228,274.227,427.385
342.258,260.01,324.763,260.014
342.978,367.363,325.185,368.324
393.772,314.176,377.133,314.737
393.809,153.193,375.704,153.986
444.483,260.36,428.375,260.794
444.833,151.655,428.432,152.193
444.949,367.15,428.572,368.037
445.379,419.914,426.287,419.702
445.521,74.4335,427.267,66.6087
446.338,313.651,428.354,314.479
448.454,206.502,430.161,207.662
495.754,152.49,478.5,153.251
496.878,206.15,480.986,206.556
496.912,313.803,481.019,314.613
497.433,425.366,480.649,425.974
497.558,366.552,479.361,367.287
499.522,260.053,481.563,260.634
541.521,108.667,525.766,109.324
545.219,416.781,526.7,417.293
545.911,207.128,528.753,208.056
547.933,314.236,531.358,314.711
552.101,151.387,480.649,425.974
552.101,151.387,536.139,152.024
553.056,259.842,536.575,259.94
553.562,366.499,537.179,367.15
563.581,386.505,548.375,387.596
